t,alpha,omega
69.2,3.14159,-2.51313e-09
69.3,3.14159,-1.82014e-09
69.4,3.14159,-1.15987e-09
69.5,3.14159,-5.31541e-10
69.6,3.14159,6.55906e-11
69.7,3.14159,6.3229e-10
69.8,3.14159,1.16932e-09
69.9,3.14159,1.67746e-09
70,3.14159,2.15746e-09
70.1,3.14159,2.61011e-09
70.2,3.14159,3.03616e-09
70.3,3.14159,3.43638e-09
70.4,3.14159,3.81153e-09
70.5,3.14159,4.16237e-09
70.6,3.14159,4.48965e-09
70.7,3.14159,4.79412e-09
70.8,3.14159,5.07651e-09
70.9,3.14159,5.33757e-09
71,3.14159,5.57801e-09
71.1,3.14159,5.79855e-09
71.2,3.14159,5.9999e-09
71.3,3.14159,6.18275e-09
71.4,3.14159,6.3478e-09
71.5,3.14159,6.49572e-09
71.6,3.14159,6.62718e-09
71.7,3.14159,6.74283e-09
71.8,3.14159,6.84332e-09
71.9,3.14159,6.92928e-09
72,3.14159,7.00132e-09
72.1,3.14159,7.06007e-09
72.2,3.14159,7.1061e-09
72.3,3.14159,7.14001e-09
72.4,3.14159,7.16237e-09
72.5,3.14159,7.17372e-09
72.6,3.14159,7.17462e-09
72.7,3.14159,7.16559e-09
72.8,3.14159,7.14716e-09
72.9,3.14159,7.11981e-09
73,3.14159,7.08405e-09
73.1,3.14159,7.04035e-09
73.2,3.14159,6.98918e-09
73.3,3.14159,6.93098e-09
73.4,3.14159,6.86619e-09
73.5,3.14159,6.79524e-09
73.6,3.14159,6.71854e-09
73.7,3.14159,6.63648e-09
73.8,3.14159,6.54945e-09
73.9,3.14159,6.45782e-09
74,3.14159,6.36196e-09
74.1,3.14159,6.2622e-09
74.2,3.14159,6.15889e-09
74.3,3.14159,6.05234e-09
74.4,3.14159,5.94288e-09
74.5,3.14159,5.83079e-09
74.6,3.14159,5.71637e-09
74.7,3.14159,5.59989e-09
74.8,3.14159,5.48162e-09
74.9,3.14159,5.3618e-09
75,3.14159,5.24069e-09
75.1,3.14159,5.11852e-09
75.2,3.14159,4.9955e-09
75.3,3.14159,4.87186e-09
75.4,3.14159,4.74779e-09
75.5,3.14159,4.62348e-09
75.6,3.14159,4.49913e-09
75.7,3.14159,4.37489e-09
75.8,3.14159,4.25095e-09
75.9,3.14159,4.12745e-09
76,3.14159,4.00453e-09
76.1,3.14159,3.88235e-09
76.2,3.14159,3.76103e-09
76.3,3.14159,3.6407e-09
76.4,3.14159,3.52147e-09
76.5,3.14159,3.40344e-09
76.6,3.14159,3.28673e-09
76.7,3.14159,3.17141e-09
76.8,3.14159,3.05759e-09
76.9,3.14159,2.94535e-09
77,3.14159,2.83475e-09
77.1,3.14159,2.72586e-09
77.2,3.14159,2.61876e-09
77.3,3.14159,2.51349e-09
77.4,3.14159,2.41011e-09
77.5,3.14159,2.30866e-09
77.6,3.14159,2.20919e-09
77.7,3.14159,2.11172e-09
77.8,3.14159,2.01631e-09
77.9,3.14159,1.92296e-09
78,3.14159,1.83171e-09
78.1,3.14159,1.74257e-09
78.2,3.14159,1.65557e-09
78.3,3.14159,1.5707e-09
78.4,3.14159,1.48798e-09
78.5,3.14159,1.40742e-09
78.6,3.14159,1.32901e-09
78.7,3.14159,1.25276e-09
78.8,3.14159,1.17865e-09
78.9,3.14159,1.10669e-09
79,3.14159,1.03686e-09
79.1,3.14159,9.69148e-10
79.2,3.14159,9.03544e-10
79.3,3.14159,8.40029e-10
79.4,3.14159,7.78584e-10
79.5,3.14159,7.19189e-10
79.6,3.14159,6.61822e-10
79.7,3.14159,6.06458e-10
79.8,3.14159,5.53072e-10
79.9,3.14159,5.01637e-10
80,3.14159,4.52125e-10
80.1,3.14159,4.04506e-10
80.2,3.14159,3.58749e-10
80.3,3.14159,3.14824e-10
80.4,3.14159,2.72696e-10
80.5,3.14159,2.32334e-10
80.6,3.14159,1.93703e-10
80.7,3.14159,1.56768e-10
80.8,3.14159,1.21493e-10
80.9,3.14159,8.78442e-11
81,3.14159,5.57838e-11
81.1,3.14159,2.52756e-11
81.2,3.14159,-3.71728e-12
81.3,3.14159,-3.12318e-11
81.4,3.14159,-5.73053e-11
81.5,3.14159,-8.1975e-11
81.6,3.14159,-1.05278e-10
81.7,3.14159,-1.27252e-10
81.8,3.14159,-1.47935e-10
81.9,3.14159,-1.67363e-10
82,3.14159,-1.85573e-10
82.1,3.14159,-2.02602e-10
82.2,3.14159,-2.18487e-10
82.3,3.14159,-2.33264e-10
82.4,3.14159,-2.46969e-10
82.5,3.14159,-2.59637e-10
82.6,3.14159,-2.71304e-10
82.7,3.14159,-2.82004e-10
82.8,3.14159,-2.91773e-10
82.9,3.14159,-3.00643e-10
83,3.14159,-3.08649e-10
83.1,3.14159,-3.15822e-10
83.2,3.14159,-3.22197e-10
83.3,3.14159,-3.27803e-10
83.4,3.14159,-3.32674e-10
83.5,3.14159,-3.36838e-10
83.6,3.14159,-3.40327e-10
83.7,3.14159,-3.43171e-10
83.8,3.14159,-3.45397e-10
83.9,3.14159,-3.47034e-10
84,3.14159,-3.4811e-10
84.1,3.14159,-3.48652e-10
84.2,3.14159,-3.48687e-10
84.3,3.14159,-3.48239e-10
84.4,3.14159,-3.47335e-10
84.5,3.14159,-3.45998e-10
84.6,3.14159,-3.44252e-10
84.7,3.14159,-3.42122e-10
84.8,3.14159,-3.39628e-10
84.9,3.14159,-3.36793e-10
85,3.14159,-3.33639e-10
85.1,3.14159,-3.30185e-10
